player,position,espn_proj_pts,actual_pts
Adrian Peterson,RB,227.9,6
Todd Gurley,RB,227,155.2
David Johnson,RB,218.4,327.8
LeSean McCoy,RB,208.1,248.3
Lamar Miller,RB,206.8,160.1
Ezekiel Elliott,RB,205.2,293.4
Devonta Freeman,RB,199.4,230.1
Le'Veon Bell,RB,197.9,242.4
Mark Ingram,RB,192.6,196.2
Doug Martin,RB,188.6,71.5
C.J. Anderson,RB,179.5,86.5
Jamaal Charles,RB,176.2,11.4
Carlos Hyde,RB,172.8,165.1
DeMarco Murray,RB,169.6,240.8
Matt Forte,RB,167.9,153.6
Eddie Lacy,RB,166.4,38.8
Latavius Murray,RB,161.5,175.2
Jeremy Langford,RB,159.3,54.2
Jonathan Stewart,RB,158.5,138.4
Jeremy Hill,RB,154.8,155.3
Frank Gore,RB,152.7,176.2
Ameer Abdullah,RB,148.8,21.8
Ryan Mathews,RB,146.4,131.6
Thomas Rawls,RB,146.3,62.5
Rashad Jennings,RB,142.3,103.4
Danny Woodhead,RB,142.3,21.1
Melvin Gordon,RB,140,209.6
Giovani Bernard,RB,137.2,83.3
LeGarrette Blount,RB,132.2,225.9
Arian Foster,RB,129.4,13.3
Matt Jones,RB,127.1,67.3
Derrick Henry,RB,126.5,92.7
Isaiah Crowell,RB,121.8,165.1
T.J. Yeldon,RB,121.5,87.7
Chris Ivory,RB,120.1,74.5
Duke Johnson Jr.,RB,118,91.2
Charles Sims,RB,115.2,43.9
Theo Riddick,RB,113.3,108.8
Bilal Powell,RB,109.4,139
Kenneth Dixon,RB,102.1,72.4
Shane Vereen,RB,99.7,27.2
Devontae Booker,RB,97,111.7
Darren Sproles,RB,96.4,110.5
Tevin Coleman,RB,94.2,160.1
DeAngelo Williams,RB,90.6,82.1
Jay Ajayi,RB,86,188.3
Justin Forsett,RB,83.4,41.6
Jerick McKinnon,RB,82.6,105.4
Christine Michael,RB,82.3,
James Starks,RB,81.9,39.9
Shaun Draughn,RB,79.9,79.9
Spencer Ware,RB,78.4,160.8
Ka'Deem Carey,RB,75.4,18.1
C.J. Spiller,RB,72.7,12.8
Chris Thompson,RB,71.1,98.5
Jordan Howard,RB,70.9,201.1
DeAndre Washington,RB,65.3,68.2
C.J. Prosise,RB,64.8,44
Dion Lewis,RB,64.5,37.7
Terrance West,RB,62.5,137
Chris Johnson,RB,60,15.5
Alfred Morris,RB,58.5,37.4
Robert Kelley,RB,56.7,120.6
Reggie Bush,RB,55.9,16.7
James White,RB,54.3,101.7
Tim Hightower,RB,52,104.8
Robert Turbin,RB,51.7,82.3
Charcandrick West,RB,49.5,66.1
Fozzy Whittaker,RB,49,47.1
Mike Tolbert,RB,46.8,24.6
Tyler Ervin,RB,45.2,-1.9
Benjamin Cunningham,RB,45,19.2
Paul Perkins,RB,43.7,61.8
Andre Ellington,RB,42.7,18.1
Lance Dunbar,RB,40.3,21.3
Orleans Darkwa,RB,40.2,24.3
Brandon Bolden,RB,39.9,1.9
Mike Gillislee,RB,39.8,116.7
Javorius Allen,RB,37.4,4.9
Zach Zenner,RB,36.4,75
Kyle Juszczyk,RB,30,36.8
Alfred Blue,RB,26.7,50
Mike Davis,RB,23.8,11.5
Wendell Smallwood,RB,22.2,46.7
Ty Montgomery,RB,21.7,96.5
Ty Montgomery,WR,21.7,96.5
Antonio Brown,WR,252.7,201.3
Julio Jones,WR,217.5,176.9
Odell Beckham Jr.,WR,205,195.6
DeAndre Hopkins,WR,187.1,119.4
Allen Robinson,WR,182.7,126.3
A.J. Green,WR,181.6,120.4
Brandon Marshall,WR,177.8,96.8
Dez Bryant,WR,172.8,130
Alshon Jeffery,WR,172.5,94.1
Jordy Nelson,WR,168.4,207.7
Mike Evans,WR,165.2,208.1
Sammy Watkins,WR,164.6,55
Eric Decker,WR,164.4,31.4
T.Y. Hilton,WR,161.1,182.8
Keenan Allen,WR,158.9,6.3
Amari Cooper,WR,152.8,149.3
Brandin Cooks,WR,152.8,168.3
Randall Cobb,WR,150.4,88.3
Jarvis Landry,WR,149.2,137.3
Jeremy Maclin,WR,149.1,65.5
Demaryius Thomas,WR,146,136.3
Donte Moncrief,WR,142.6,72.6
Doug Baldwin,WR,142,159.6
Kelvin Benjamin,WR,140.4,134.1
Golden Tate,WR,139.4,132.1
Julian Edelman,WR,138.1,132.3
Larry Fitzgerald,WR,138,136.8
John Brown,WR,137.1,64.7
Marvin Jones,WR,136.8,117.3
Michael Floyd,WR,136.7,78.8
Emmanuel Sanders,WR,133.7,133.6
DeSean Jackson,WR,132.8,124.5
Tyler Lockett,WR,125.7,83.1
Michael Crabtree,WR,125.1,150.3
Torrey Smith,WR,123.4,44.7
Jordan Matthews,WR,122,98.4
Michael Thomas,WR,114,163.7
Sterling Shepard,WR,113.6,119.4
Willie Snead,WR,112.6,119.5
Kevin White,WR,112,19.6
Vincent Jackson,WR,111.6,17.3
Tavon Austin,WR,110.7,88.8
Stefon Diggs,WR,109.5,109.3
Will Fuller V,WR,109.1,81.2
Mohamed Sanu,WR,107.9,89.8
Allen Hurns,WR,106.9,65.7
DeVante Parker,WR,106,98.4
Travis Benjamin,WR,105.8,85.4
Steve Smith Sr.,WR,104.8,113.9
Josh Gordon,WR,103.8,0
Corey Coleman,WR,103.2,60.3
Mike Wallace,WR,100.2,130.8
Pierre Garcon,WR,100.1,122.1
Phillip Dorsett,WR,97.2,65.8
Terrance Williams,WR,96.9,81.4
Devin Funchess,WR,96.8,63.1
Chris Hogan,WR,95.7,90.9
Kenny Stills,WR,94.1,126.6
Kenny Britt,WR,92.7,128.2
Markus Wheaton,WR,91.9,13.1
Anquan Boldin,WR,90.2,106.4
Tajae Sharpe,WR,89.2,64.3
Tyler Boyd,WR,88.5,70.1
Rishard Matthews,WR,83.6,146.5
Kamar Aiken,WR,83,38.8
Eli Rogers,WR,82.5,78
Ted Ginn Jr.,WR,80.9,105
Terrelle Pryor Sr.,WR,80.2,136.4
Robert Woods,WR,79.6,67.9
Quinton Patton,WR,76.4,40.8
Jermaine Kearse,WR,74.8,57.1
Braxton Miller,WR,72.7,15.9
Laquon Treadwell,WR,69.7,1.5
Jamison Crowder,WR,69.3,130.5
Chris Conley,WR,68.7,53
Victor Cruz,WR,68.2,62.6
Breshad Perriman,WR,65,68.1
Cole Beasley,WR,64.8,114
Kendall Wright,WR,61.4,61.1
Tyrell Williams,WR,61.4,147.9
Seth Roberts,WR,59.6,73.7
Josh Doctson,WR,58.1,6.6
Marqise Lee,WR,57.8,115.4
Davante Adams,WR,57.2,171.7
Eddie Royal,WR,56.7,54.9
Quincy Enunwa,WR,55.7,110.9
Jaelen Strong,WR,54.3,13.1
Dorial Green-Beckham,WR,53.6,51.2
Jeremy Kerley,WR,52.6,82.7
Brandon LaFell,WR,49.1,122
Rob Gronkowski,TE,168.3,72
Jordan Reed,TE,142.4,102.6
Greg Olsen,TE,134.6,127.3
Delanie Walker,TE,124.8,123.1
Coby Fleener,TE,120.8,87.3
Travis Kelce,TE,116.7,138
Gary Barnidge,TE,116.4,75.2
Jason Witten,TE,107.3,83.3
Julius Thomas,TE,106.3,52.1
Antonio Gates,TE,106.3,94.8
Zach Ertz,TE,104.2,105.6
Zach Miller,TE,96.2,72.6
Jimmy Graham,TE,92.6,124.3
Eric Ebron,TE,91.1,83.2
Clive Walford,TE,90.7,53.9
Jared Cook,TE,90.5,41.7
Martellus Bennett,TE,88.5,113.1
Charles Clay,TE,87.9,79.2
Dwayne Allen,TE,86.9,78.6
Tyler Eifert,TE,86.4,69.4
Jordan Cameron,TE,78.2,12
Kyle Rudolph,TE,76.8,126
Larry Donnell,TE,72.8,13.2
Vance McDonald,TE,66.9,63.1
Austin Seferian-Jenkins,TE,64.9,21.4
Virgil Green,TE,58.6,29.7
Jacob Tamme,TE,58,39
Crockett Gillmore,TE,52.6,13.1
Ladarius Green,TE,49.9,36.4
Maxx Williams,TE,49.4,0
Josh Hill,TE,47.6,20.9
Will Tye,TE,45.1,45.5
Austin Hooper,TE,42.9,45.1
Jesse James,TE,42.3,51.8
Cameron Brate,TE,42.3,114
Cam Newton,QB,337.1,253.3
Aaron Rodgers,QB,312.1,378.7
Russell Wilson,QB,306.1,266.7
Andrew Luck,QB,295.9,306.7
Drew Brees,QB,291.6,331.2
Ben Roethlisberger,QB,283.4,251
Kirk Cousins,QB,283,299
Matthew Stafford,QB,281.4,278.9
Eli Manning,QB,274.2,223.1
Philip Rivers,QB,269.4,257.9
Tyrod Taylor,QB,268.3,269.4
Carson Palmer,QB,265.2,241.8
Andy Dalton,QB,264.4,259.2
Blake Bortles,QB,263.3,269.1
Ryan Fitzpatrick,QB,262.2,132.2
Alex Smith,QB,261.5,222.3
Jameis Winston,QB,260.9,254.9
Derek Carr,QB,255.2,267.2
Ryan Tannehill,QB,251.8,189.2
Brock Osweiler,QB,247.4,166.5
Joe Flacco,QB,244.3,241
Matt Ryan,QB,243.4,346.1
Robert Griffin III,QB,240.1,66
Marcus Mariota,QB,235.8,258.7
Tom Brady,QB,232.8,257.8
Jay Cutler,QB,222.9,46.4
Carson Wentz,QB,222.7,211.5
Blaine Gabbert,QB,197.3,72.3
Sam Bradford,QB,185,219.6
Tony Romo,QB,159.6,5
Trevor Siemian,QB,133.1,190.5
Dak Prescott,QB,106.9,285.6
Case Keenum,QB,105.2,110.7
Jimmy Garoppolo,QB,68,34.7
Paxton Lynch,QB,66.2,28.1
Jared Goff,QB,48.2,52.8
Colin Kaepernick,QB,29.1,199.6
Shaun Hill,QB,18.5,10.1
Chase Daniel,QB,17.3,0.6
Geno Smith,QB,17.2,7.9
Broncos,D/ST,141.5,144
Bengals,D/ST,123.1,79
Panthers,D/ST,122.7,101
Packers,D/ST,121,75
Cardinals,D/ST,120.1,143
Seahawks,D/ST,117.7,113
Jets,D/ST,116.3,43
Bills,D/ST,114.3,81
Raiders,D/ST,113.6,74
Chiefs,D/ST,113.4,138
Texans,D/ST,113.4,102
Rams,D/ST,112,72
Buccaneers,D/ST,103,108
Ravens,D/ST,100.3,116
Lions,D/ST,97.2,69
