player	position	actual_points	cbs_proj_pts	espn_proj_pts	fantasyData_proj_pts	fantasyFootballNerd_proj_pts	fantasyPros_proj_pts	fantasySharks_proj_pts	ffAnalytics_average_proj_pts	ffAnalytics_robust_proj_pts	ffAnalytics_weighted_proj_pts	ffToday_proj_pts	nfl_proj_pts	walterFootball_proj_pts	yahoo_proj_pts
Aaron Rodgers	QB	380.0	300.38	316.404	326.42	320.42	318.216	324.202	319.696866666667	321.24	318.649484799707	336.08	328.26	341.0	300.12
Matt Ryan	QB	347.5	233.66	250.096	257.4		246.322	248.348	246.79622222222199	247.101	246.33275244844398	247.24	245.38	273.0	244.84
Drew Brees	QB	332.3	266.18	294.17	303.16	295.16	289.748	269.246	289.0334	291.495	287.93304839914396	288.8	303.86	305.0	291.01
Andrew Luck	QB	307.7	272.06	299.3520000000001	314.2	306.2	297.998	323.41	302.205333333333	303.045	301.02795037186	309.22	288.14	339.0	291.54
Kirk Cousins	QB	300.3	244.16	293.372	264.66		258.464	282.976	264.606888888889	263.175	265.15026146181	266.1	264.2	259.0	269.69
Dak Prescott	QB	286.9	95.22	105.942	119.92		91.676	203.922	138.164444444444	121.371	141.721022835656	110.1	210.34	164.0	148.88
Matthew Stafford	QB	279.8	248.64	284.348	268.36	262.36	258.288	285.332	264.256133333333	262.86	264.342782127158	247.16	252.26	277.0	272.68
Blake Bortles	QB	270.1	246.72	272.16200000000003	284.26	278.26	267.776	300.992	276.299666666667	277.52	276.319077882521	291.78	272.98	294.0	270.2
Tyrod Taylor	QB	270.9	261.3	274.732	264.56	258.56	264.606	262.456	266.100066666667	265.579	266.88836578933996	295.54	255.7	278.0	258.08
Russell Wilson	QB	268.1	326.34	312.766	320.56	312.56	312.172	347.538	317.1736	316.125	317.42042375374	329.6	288.94	338.0	297.26
Derek Carr	QB	268.5	257.06	261.688	267.04	261.04	252.588	257.03	260.025266666667	262.64	260.398197525229	265.14	253.04	277.0	262.76
Andy Dalton	QB	260.6	250.64	267.798	261.4		260.086	252.574	260.419777777778	259.392	260.246535574826	257.9	261.78	274.0	276.48
Marcus Mariota	QB	259.9	258.32	241.536	258.58		244.424	253.976	249.80622222222198	249.34	250.196473857701	259.38	232.24	275.0	251.2
Philip Rivers	QB	258.9	247.62	271.57	278.46	272.46	262.248	282.91	272.221133333333	272.76	272.725447424587	279.6	281.66	289.0	267.75
Tom Brady	QB	258.6	237.02	233.564	241.74		232.66	241.298	235.54466666666698	233.69	235.606362036614	248.58	222.16	248.0	221.28
Jameis Winston	QB	256.1	259.06	263.82	270.24	264.24	253.884	279.936	264.899333333333	262.69	265.450942600951	267.64	265.46	283.0	254.78
Cam Newton	QB	254.3	335.26	340.01199999999994	346.06	338.06	327.73800000000006	371.392	335.190866666667	333.596	335.010109031898	335.6	308.32	342.0	328.2
Ben Roethlisberger	QB	252.2	261.46	279.702	286.58	280.58	278.598	285.202	279.214533333333	279.23400000000004	278.939929092014	280.92	275.26	285.0	288.71
Carson Palmer	QB	243.1	269.46	269.172	281.04	275.04	273.54	257.014	269.45926666666696	270.55	267.965847792033	265.96	264.84	278.0	272.66
Joe Flacco	QB	242.5	242.38	250.496	253.6		235.314	229.13	240.65222222222198	242.48	240.845746647809	228.8	253.08	256.0	230.77
Alex Smith	QB	223.8	241.82	263.78	258.5		245.606	257.274	252.98	252.578	253.617920736346	261.36	264.42	257.0	242.9
Eli Manning	QB	224.2	246.62	280.144	279.78	273.78	264.204	269.894	269.6952	270.837	269.290373136466	273.62	249.2	295.0	279.11
Sam Bradford	QB	220.9	169.48	194.234	188.42		170.99599999999995	218.516	193.017	189.449	195.21112916213104	183.36	224.92		208.61
Carson Wentz	QB	213.0	182.76	233.604	120.8		38.102	148.08	119.4595	112.747	128.242763305322	144.08		84.0	24.65
Trevor Siemian	QB	191.7	60.3	137.732	89.18		62.066	101.68	90.2106428571429	94.0925	94.7580745226211	118.24	3.5		134.73
Ryan Tannehill	QB	190.2	236.6	259.312	267.4	261.4	248.334	255.564	253.442333333333	253.9	252.66776769350102	267.06	229.6	275.0	249.22
Brock Osweiler	QB	168.0	234.72	252.164	222.24		230.472	188.92	228.299555555556	231.16	227.726302905827	236.1	198.88	260.0	248.96
Ryan Fitzpatrick	QB	133.4	232.72	264.314	262.7		249.93	276.79200000000003	257.921777777778	256.251	258.792476755827	263.54	280.14	251.0	255.62
Case Keenum	QB	111.1	86.98	111.982	80.92		49.95399999999999	76.5	102.766222222222	101.17	107.22229874740101	45.74	176.14	155.0	156.56
Blaine Gabbert	QB	72.7	226.48	204.692	180.06		159.204	250.478	208.332666666667	208.616	212.604955723596	210.44	220.7	230.0	212.52
Robert Griffin	QB	66.4	215.22	253.868	212.16		204.428	166.21599999999995	200.86577777777802	207.83	200.944899792079	209.74	122.9	222.0	228.3
Jared Goff	QB	53.2	91.38	54.834	92.88		137.342		71.7456904761905	71.1365	64.4622859149634	127.82	8.3	52.0	20.0
Josh McCown	QB	52.1	3.02	17.024	43.52		34.628	134.2	39.901857142857104	33.67	40.19479716792471	43.9	6.72		41.11
Jay Cutler	QB	46.8	219.7	228.366	244.88		231.282	248.112	231.92444444444402	231.534	232.32766712307895	235.74	223.52	235.0	244.08
Jimmy Garoppolo	QB	35.0	66.42	71.99	57.1		62.394	66.452	64.92110714285711	64.4965	65.29466456584639	67.3	47.74		79.35
Paxton Lynch	QB	28.4	129.66	68.132	98.34		82.25200000000002	131.2	95.59675	98.3275	95.6585117764147	104.86	0.0	130.0	28.93
Shaun Hill	QB	10.2	121.08	19.652	49.88		6.664	12.5	66.31622222222221	65.327	72.6836791841872	20.54	5.56	176.0	185.26
Tony Romo	QB	5.2	137.72	161.512	114.68		167.476		133.526119047619	140.05	128.41236676885	157.6	0.44	138.0	140.79
Mark Sanchez	QB	-0.5	0.92				92.698	34.724000000000004	27.9272	18.484	11.080895536881401		9.22		1.974
Teddy Bridgewater	QB	0.0		0.0	26.78		217.246		87.1958666666667	91.81	50.8395700336197		201.02		0.0
