player,pos,points,rec
Kasen Williams,WR,0.06,0
Aaron Rodgers,QB,342.172,0
Tom Brady,QB,331.452,0
Matt Ryan,QB,304.454,0
Drew Brees,QB,298.592,0
Kirk Cousins,QB,293.786,0
Russell Wilson,QB,284.7,0
Dak Prescott,QB,281.076,0
Andy Dalton,QB,270.848,0
Matthew Stafford,QB,267.424,0
Marcus Mariota,QB,265.688,0
Cam Newton,QB,264.274,0
Andrew Luck,QB,260.706,0
Derek Carr,QB,258.066,0
Brian Hoyer,QB,257.896,0
Tyrod Taylor,QB,255.266,0
Jameis Winston,QB,254.574,0
Carson Palmer,QB,244.706,0
Sam Bradford,QB,236.102,0
Philip Rivers,QB,235.018,0
Alex Smith,QB,233.74,0
Eli Manning,QB,231.806,0
Ben Roethlisberger,QB,222.532,0
Carson Wentz,QB,221.122,0
Chad Henne,QB,210.032,0
Jay Cutler,QB,208.072,0
DeShone Kizer,QB,199.236,0
Tom Savage,QB,183.588,0
Trevor Siemian,QB,177.728,0
Joe Flacco,QB,172.904,0
Mike Glennon,QB,171.356,0
Josh McCown,QB,158.388,0
Jared Goff,QB,119.67,0
Matt Moore,QB,80.512,0
Blake Bortles,QB,71.234,0
Paxton Lynch,QB,53.116,0
Brock Osweiler,QB,48.354,0
Ryan Fitzpatrick,QB,31.482,0
Teddy Bridgewater,QB,29.654,0
Case Keenum,QB,26.35,0
AJ McCarron,QB,25.338,0
Cody Kessler,QB,24.2,0
Matt Cassel,QB,17.312,0
Nick Foles,QB,13.966,0
Geno Smith,QB,13.02,0
Trevone Boykin,QB,12.386,0
Colt McCoy,QB,6.758,0
Blaine Gabbert,QB,4.066,0
Scott Tolzien,QB,3.634,0
Derek Anderson,QB,3.06,0
Matt Barkley,QB,2.94,0
Kellen Moore,QB,2.916,0
Nathan Peterman,QB,2.636,0
Christian Hackenberg,QB,1.51,0
Matt Schaub,QB,1.116,0
Kevin Hogan,QB,0.44,0
Matt McGloin,QB,0.178,0
Jimmy Garoppolo,QB,0.166,0
Bryce Petty,QB,0.152,0
Connor Cook,QB,0.132,0
Jake Rudock,QB,0.074,0
Dan Orlovsky,QB,0.06,0
Chase Daniel,QB,-0.06,0
Brett Hundley,QB,-0.106,0
Kellen Clemens,QB,-0.15,0
Zach Mettenberger,QB,-0.152,0
Luke McCown,QB,-0.2,0
Mitchell Trubisky,QB,-0.204,0
Mark Sanchez,QB,-0.236,0
Patrick Mahomes,QB,-0.238,0
Cooper Rush,QB,-0.292,0
Sean Renfree,QB,-0.296,0
Deshaun Watson,QB,-2.65,0
Landry Jones,QB,-3.108,0
Ryan Mallett,QB,-3.162,0
Sean Mannion,QB,-5.788,0
Drew Stanton,QB,-13.472,0
Justin Tucker,K,159.5,0
Stephen Gostkowski,K,150.9,0
Matt Bryant,K,148.1,0
Dan Bailey,K,137.9,0
Adam Vinatieri,K,137.2,0
Caleb Sturgis,K,136,0
Brandon McManus,K,135.9,0
Matt Prater,K,133.1,0
Dustin Hopkins,K,132.4,0
Wil Lutz,K,132.1,0
Nick Novak,K,129.7,0
Blair Walsh,K,128.9,0
Sebastian Janikowski,K,127.7,0
Jason Myers,K,126,0
Mason Crosby,K,125.3,0
Chris Boswell,K,124.7,0
Kai Forbath,K,121.1,0
Graham Gano,K,116.8,0
Josh Lambo,K,116.5,0
Chandler Catanzaro,K,116.2,0
Steven Hauschka,K,114.1,0
Cairo Santos,K,107,0
Nick Folk,K,106.8,0
Jake Elliott,K,106.2,0
Phil Dawson,K,101.9,0
Aldrick Rosas,K,101,0
Ryan Succop,K,99.4,0
Zane Gonzalez,K,94.1,0
Connor Barth,K,92.8,0
Robbie Gould,K,92,0
Cody Parkey,K,88.7,0
Mike Nugent,K,86.7,0
Greg Zuerlein,K,84.2,0
Andrew Franks,K,83.2,0
Roberto Aguayo,K,76.5,0
Randy Bullock,K,73.9,0
Texans,DST,180,0
Patriots,DST,178.6,0
Broncos,DST,175.2,0
Chiefs,DST,173.3,0
Vikings,DST,170.1,0
Ravens,DST,152.5,0
Seahawks,DST,151.3,0
Bengals,DST,149.6,0
Bills,DST,143.8,0
Cardinals,DST,141.4,0
Panthers,DST,129.1,0
Falcons,DST,111.6,0
Giants,DST,109,0
Steelers,DST,105.4,0
Eagles,DST,100,0
Buccaneers,DST,99,0
Raiders,DST,98.6,0
Jaguars,DST,94.4,0
Packers,DST,93.1,0
Cowboys,DST,92,0
Titans,DST,91.3,0
49ers,DST,84.5,0
Dolphins,DST,81.6,0
Colts,DST,80.7,0
Redskins,DST,79.8,0
Saints,DST,73.4,0
Bears,DST,71.3,0
Jets,DST,62.2,0
Browns,DST,55.9,0
Lions,DST,49.1,0
David Johnson,TE,5.58,5.9
David Johnson,RB,290.05,74.9
Antonio Brown,WR,222.97,114.9
Jordy Nelson,WR,191.36,90.2
Odell Beckham,WR,177.38,87.4
Julio Jones,WR,176.6,89.7
Mike Evans,WR,169.38,84.7
Dez Bryant,WR,169.15,69.9
Michael Thomas,WR,168.39,81.8
A.J. Green,WR,167.39,86.8
Doug Baldwin,WR,159.25,83.8
Keenan Allen,WR,154.3,79.5
Kelvin Benjamin,WR,153.81,68.7
Allen Robinson,WR,152.4,71.8
Brandin Cooks,WR,151.11,76.2
DeAndre Hopkins,WR,150.28,89.1
Terrelle Pryor,WR,149.46,79.7
Davante Adams,WR,148.78,67.1
Sammy Watkins,WR,147.98,71.2
Amari Cooper,WR,147.3,80
T.Y. Hilton,WR,145.04,72.8
Michael Crabtree,WR,142.73,87.7
Golden Tate,WR,141.69,91
Alshon Jeffery,WR,140.84,81.3
Donte Moncrief,WR,135.08,66.8
Tyreek Hill,WR,134.77,71.6
Eric Decker,WR,134,56.2
Demaryius Thomas,WR,131.46,92
Kenny Britt,WR,130.85,72.8
Jamison Crowder,WR,129.86,66.9
Jarvis Landry,WR,128.83,91.5
Martavis Bryant,WR,127.97,66
Randall Cobb,WR,127.63,70.3
Brandon Marshall,WR,126.66,72.9
Larry Fitzgerald,WR,126.24,103.1
Emmanuel Sanders,WR,126.1,70.8
Pierre Garcon,WR,125.59,77.4
Jeremy Maclin,WR,125.32,68.5
Corey Davis,WR,124.64,58
Chris Hogan,WR,124.24,54.4
Robby Anderson,WR,122.72,57
Kevin White,WR,122.6,72
Ted Ginn,WR,121.38,66.9
Rishard Matthews,WR,121.34,52.6
J.J. Nelson,WR,115.18,43.3
Stefon Diggs,WR,111.25,78.8
Taylor Gabriel,WR,111.23,45.7
Brandon LaFell,WR,110.11,64.2
DeVante Parker,WR,109.97,54.7
Mike Wallace,WR,109.59,66.6
Tyrell Williams,WR,107.92,51.9
Zay Jones,WR,107.18,51.2
Marvin Jones,WR,105.66,65.8
DeSean Jackson,WR,103.44,52.9
Mohamed Sanu,WR,103.14,63
Sterling Shepard,WR,103.05,60.9
Marqise Lee,WR,100.32,60.7
Jordan Matthews,WR,97.71,60.5
Willie Snead,WR,97.64,65.8
Kenny Stills,WR,92.69,39.8
Terrance Williams,WR,89.54,46.2
Dontrelle Inman,WR,88.71,49.5
John Brown,WR,82.35,38.3
Tavon Austin,WR,80.98,49.8
Breshad Perriman,WR,80.41,49.8
Markus Wheaton,WR,77.83,46.8
Paul Richardson,WR,77.31,43.1
ArDarius Stewart,WR,77.21,44.3
Corey Coleman,WR,76.9,57.1
Tyler Lockett,WR,76.63,37.9
Robert Woods,WR,74.92,55.3
Adam Thielen,WR,74.14,43.5
Devin Funchess,WR,74,33.1
Cole Beasley,WR,73.67,50.2
Eli Rogers,WR,73.36,57
Kendall Wright,WR,73.22,44.3
Allen Hurns,WR,70.87,43.6
Tyler Boyd,WR,63.54,49.9
Chris Conley,WR,62.44,41.5
Travis Benjamin,WR,61.87,40.2
Danny Amendola,WR,61.77,37.1
Josh Doctson,WR,61.22,48.8
Albert Wilson,WR,59.09,35.8
Jeremy Kerley,WR,57.88,47.5
Adam Humphries,WR,56.53,39.9
Kenny Golladay,WR,53.99,42.1
Phillip Dorsett,WR,52.94,33.5
Brandon Coleman,WR,52.15,28.5
Seth Roberts,WR,51.77,28
Marquise Goodwin,WR,49.99,39.4
Tajae Sharpe,WR,49.24,34.5
Torrey Smith,WR,48.46,33
Darrius Heyward-Bey,WR,48.16,17.3
Sammie Coates,WR,47.27,23.4
Nelson Agholor,WR,46.79,32.3
Charone Peake,WR,44.83,38.2
Geronimo Allison,WR,44.66,24.4
Jermaine Kearse,WR,44.65,31.9
Malcolm Mitchell,WR,44.46,29.3
Russell Shepard,WR,44.09,29
Vincent Jackson,WR,44.01,28.1
Cecil Shorts,WR,42.92,28.7
Chester Rogers,WR,42.15,29.2
Cobi Hamilton,WR,41.37,19.5
Justin Hardy,WR,39.68,24.4
Ricardo Louis,WR,38.74,27.8
Victor Cruz,WR,37.08,25
Braxton Miller,WR,35.67,30.9
Deonte Thompson,WR,35.49,22
Will Fuller,WR,35.13,23.8
Michael Floyd,WR,35.1,15.9
Brian Quick,WR,32.19,23.5
Aldrick Robinson,WR,31.98,17.4
Jaron Brown,WR,30.97,18.5
John Ross,WR,30.19,25
Eddie Royal,WR,29.46,27.5
Andrew Hawkins,WR,27.47,22.7
Jordan Taylor,WR,26.96,19
Bennie Fowler,WR,26.6,15.6
Laquon Treadwell,WR,26.42,28.4
Kamar Aiken,WR,26.25,21.1
Jarius Wright,WR,26.03,26
Brice Butler,WR,25.68,11.5
Josh Bellamy,WR,25.47,13.2
Cordarrelle Patterson,WR,24.32,23.7
Tavarres King,WR,23.97,6.6
Andre Holmes,WR,23.59,15.3
Josh Huff,WR,23.57,21
Harry Douglas,WR,22.35,15.1
Justin Hunter,WR,21.81,4.9
Jeff Janis,WR,20.62,8.9
Cody Core,WR,19.95,20.1
Philly Brown,WR,19.75,19.6
Michael Campanaro,WR,19.53,15.6
Quinton Patton,WR,19.29,18.6
Walt Powell,WR,18.73,14.1
Cooper Kupp,WR,18.42,19.3
Chad Hansen,WR,16.64,15.8
Nick Williams,WR,16.6,9.3
Tanner McEvoy,WR,16.44,5.5
Jace Billingsley,WR,16.25,11.9
Roger Lewis,WR,14.58,5.2
Brandon Tate,WR,14.45,9.3
Lucky Whitehead,WR,14.13,11.6
Rod Streater,WR,13.75,8.5
Ryan Grant,WR,13.44,11.5
Chris Godwin,WR,13.14,9.3
Javontee Herndon,WR,12.96,23.2
Brenton Bersin,WR,12.44,15.6
Freddie Martino,WR,11.94,6.7
Greg Salas,WR,11.86,6
DeAnthony Thomas,WR,11.64,9.7
Kenbrell Thompkins,WR,11.4,11.1
Demarcus Robinson,WR,11.38,12.5
Dwayne Harris,WR,10.96,8.9
Keshawn Martin,WR,10.6,8.5
Pharoh Cooper,WR,10.26,13.5
Cody Latimer,WR,10.1,9.9
Rashard Higgins,WR,9.89,8.1
Andre Roberts,WR,8.76,8.4
Paul Turner,WR,8.49,5.7
Arrelious Benn,WR,8.47,3.6
Demarcus Ayers,WR,8.13,6.4
T.J. Jones,WR,7.98,5.4
Alex Erickson,WR,7.7,6.3
Mack Hollins,WR,7.43,8.7
Chris Matthews,WR,6.88,5.9
Tommylee Lewis,WR,6.1,5.9
Aaron Burbridge,WR,5.85,5.2
Jeremy Butler,WR,5.51,3.9
Chris Moore,WR,5.41,5
Donteea Dye,WR,5.2,4.6
Leonte Carroo,WR,5.1,2.8
Rashad Greene,WR,5.09,10.1
DeAndre Smelter,WR,4.88,4.3
Taywan Taylor,WR,4.86,4.3
Maurice Harris,WR,4.48,4.5
Brittan Golden,WR,4.14,5.5
Bryce Treggs,WR,3.38,1.5
Amara Darboh,WR,2.94,2.6
Kevin Smith,WR,2.68,2.7
Rashad Ross,WR,2.44,1.8
Josh Reynolds,WR,2.19,3.2
Johnny Holton,WR,2.04,1.1
Jared Abbrederis,WR,1.38,0.9
Rodney Adams,WR,1.38,0.9
Bruce Ellington,WR,1.11,0.9
Carlos Henderson,WR,1.08,2.6
Quan Bray,WR,0.97,0.6
Percy Harvin,WR,0.53,0.8
Chad Williams,WR,0.45,2.2
Devin Street,WR,0.44,0.2
Jordan Payton,WR,0.36,0.7
Damiere Byrd,WR,0.17,0.1
Jeremy Ross,WR,0.15,0.2
Rashawn Scott,WR,0.04,0
Corey Fuller,WR,0.01,0
Kenny Bell,WR,0,0
Vince Mayle,WR,0,0
Geremy Davis,WR,-0.23,0
Mike Williams,WR,-0.28,0
Curtis Samuel,WR,-0.32,0.3
Jakeem Grant,WR,-0.49,0
Trevor Davis,WR,-0.54,0
Ryan Switzer,WR,-0.55,0
Dede Westbrook,WR,-1.2,1.8
Andy Jones,WR,-1.22,1.4
Keenan Reynolds,WR,-1.25,0.6
Kalif Raymond,WR,-3.37,1.9
Rob Gronkowski,TE,136.72,58.7
Jordan Reed,TE,129.02,81.1
Travis Kelce,TE,122.18,83.1
Tyler Eifert,TE,119.91,52.2
Greg Olsen,TE,119.6,73.4
Jimmy Graham,TE,114.21,65.4
Delanie Walker,TE,114.06,68.3
Kyle Rudolph,TE,110.5,72.2
Hunter Henry,TE,107.31,45.4
Zach Ertz,TE,101.76,76
Martellus Bennett,TE,98.16,54.1
O.J. Howard,TE,97.2,45
Jack Doyle,TE,93.82,58.2
Austin Hooper,TE,93.21,39.4
Antonio Gates,TE,90.22,47.9
Cameron Brate,TE,88.68,42
Charles Clay,TE,82.98,58.7
Eric Ebron,TE,81.87,58.8
Evan Engram,TE,78.92,64.2
Jason Witten,TE,78.2,66.1
Dwayne Allen,TE,78.18,42.9
C.J. Fiedorowicz,TE,77.78,52.2
David Njoku,TE,76.89,44.9
Julius Thomas,TE,75.18,42.5
Garrett Celek,TE,74.43,37.8
Benjamin Watson,TE,74.43,60.3
Jared Cook,TE,74.31,51.3
Tyler Higbee,TE,73.7,52.8
Coby Fleener,TE,72.95,47.7
Zach Miller,TE,71.09,49.5
Austin Seferian-Jenkins,TE,62,40.5
Vernon Davis,TE,60.77,42.5
Jesse James,TE,55.99,42.6
Dion Sims,TE,54.41,33
Marcedes Lewis,TE,49.34,33.1
Virgil Green,TE,47.63,31.6
Clive Walford,TE,47.5,30.7
Jermaine Gresham,TE,45.29,33.1
Vance McDonald,TE,45.19,24.5
Ryan Griffin,TE,43.2,40.4
Lance Kendricks,TE,41.65,35.6
Will Tye,TE,40.13,39.7
Erik Swoope,TE,36.65,24.2
Brent Celek,TE,29.74,18.8
Levine Toilolo,TE,27.73,12.9
Richard Rodgers,TE,27.49,15.8
Jacob Tamme,TE,25.86,16.2
Josh Hill,TE,25.69,18.8
Phillip Supernaw,TE,25.19,13.5
Luke Willson,TE,24.34,16.9
Nick Boyle,TE,19.83,23.5
George Kittle,TE,19.72,14.8
Lee Smith,TE,19.26,15.2
A.J. Derby,TE,18.46,23.1
Xavier Grimble,TE,18.22,9.5
Ed Dickson,TE,17.39,10.1
Maxx Williams,TE,17.21,20
Demetrius Harris,TE,16.99,12.6
Mychal Rivera,TE,16.97,17.7
Trey Burton,TE,16.95,20.2
Randall Telfer,TE,15.64,9.1
Tim Wright,TE,15.58,3.1
Ben Koyack,TE,15.3,15.8
Seth DeValve,TE,14.53,7.5
Blake Bell,TE,14.52,8.7
Temarrick Hemingway,TE,14.13,16.6
Anthony Fasano,TE,14,10
Gerald Everett,TE,13.6,16.4
Stephen Anderson,TE,13.3,9.7
Jeff Heuerman,TE,12.98,7.8
Jerell Adams,TE,12.89,15
Michael Hoomanawanui,TE,12.45,3.8
C.J. Uzomah,TE,12.42,10.9
Rhett Ellison,TE,12.06,14.1
Tyler Kroft,TE,11.48,9.6
Darren Fells,TE,11.18,8.3
Geoff Swaim,TE,10.96,9.3
Nick OLeary,TE,9.19,6.7
MarQueis Gray,TE,9.18,9
Troy Niklas,TE,8.43,6.1
Brandon Williams,TE,8.4,4.7
David Morgan,TE,8.32,10.9
Mo Alie-Cox,TE,7.29,5.5
Joshua Perkins,TE,6.91,2.8
Jace Amaro,TE,5.37,5
James Hanna,TE,5.19,4
Luke Stocker,TE,4.24,6.5
Alan Cross,TE,4.08,4
Nick Vannett,TE,2.85,2
D.J. Tialavea,TE,2.74,1.1
John Phillips,TE,2.73,3.3
Niles Paul,TE,2.66,1.7
Gavin Escobar,TE,2.01,2.6
Derek Carrier,TE,1.97,3.1
Ben Braunecker,TE,1.14,1.3
Jordan Leggett,TE,1.13,1.3
Sean McGrath,TE,0.96,0.9
Chris Gragg,TE,0.88,0.6
Bucky Hodges,TE,0.76,1.1
Rob Housler,TE,0.73,0.8
MyCole Pruitt,TE,0.7,1.2
Larry Donnell,TE,0.62,2.8
Matthew Mulligan,TE,0.57,1.7
Garrett Graham,TE,0.46,0.5
Ross Travis,TE,0.25,0.5
Wes Saxton,TE,0.11,0.1
Rico Gathers,TE,0.09,0.2
Beau Sandland,TE,0.06,0
Chris Manhertz,TE,0.05,0.1
Cole Wick,TE,0.04,0
Cory Harkey,TE,0.02,0
Adam Shaheen,TE,0.02,0
Jeff Cumberland,TE,-0.19,0
Matt LaCosse,TE,-2.77,0.7
LeVeon Bell,RB,246.83,60.8
Jordan Howard,RB,207.87,30.4
Devonta Freeman,RB,195.27,53
LeSean McCoy,RB,187.9,41.8
Leonard Fournette,RB,185.16,50.5
DeMarco Murray,RB,183.1,43.8
Melvin Gordon,RB,180.65,53.9
Jay Ajayi,RB,180.46,36.3
Lamar Miller,RB,180.42,37.8
Todd Gurley,RB,178.35,36.9
Marshawn Lynch,RB,177.91,37.9
Kareem Hunt,RB,177.23,34.1
Mark Ingram,RB,169.5,44.8
C.J. Anderson,RB,168.58,38
Christian McCaffrey,RB,167.97,37.5
Carlos Hyde,RB,166.86,35.8
Ezekiel Elliott,RB,166.46,21.9
Mike Gillislee,RB,165.4,14.4
LeGarrette Blount,RB,164.94,15.7
Dalvin Cook,RB,164.93,44.7
Isaiah Crowell,RB,160.51,38.8
Ty Montgomery,RB,159.95,36.6
Joe Mixon,RB,153.5,19.6
Ameer Abdullah,RB,150.09,51.6
Frank Gore,RB,146.51,32.2
Bilal Powell,RB,143.86,52.6
Matt Forte,RB,143.12,39.2
Thomas Rawls,RB,142.39,21.2
Eddie Lacy,RB,141.43,30.7
Jonathan Stewart,RB,140.08,11.3
Jeremy Hill,RB,139.75,19.1
Terrance West,RB,138.28,43.6
Derrick Henry,RB,136.74,21.4
Danny Woodhead,RB,132.27,62.3
Marlon Mack,RB,131.62,21.7
Doug Martin,RB,129.33,24.1
Paul Perkins,RB,127.91,43
Rob Kelley,RB,127.45,26.2
Tevin Coleman,RB,127.21,15
Darren McFadden,RB,125.35,23.9
Adrian Peterson,RB,124.36,46.8
Jamaal Charles,RB,122.28,17
Jacquizz Rodgers,RB,119.89,24.1
Latavius Murray,RB,118.72,33.2
James White,RB,117.73,54.6
Duke Johnson,RB,117.66,68.9
Joe Williams,RB,117.04,26.5
Tim Hightower,RB,114.49,25.5
Darren Sproles,RB,113.18,54.2
Giovani Bernard,RB,112.23,45.3
Theo Riddick,RB,110.37,63.3
Zach Zenner,RB,108.69,30.9
Charles Sims,RB,107.28,45
Robert Turbin,RB,102.47,33.2
Devontae Booker,RB,100.96,30.5
Chris Thompson,RB,100.65,49.5
C.J. Prosise,RB,96.72,35.9
Dion Lewis,RB,95.46,41.5
Rex Burkhead,RB,94.06,24.4
Jeremy Langford,RB,90.42,24.3
Chris Ivory,RB,89.73,24.1
Jamaal Williams,RB,89.13,25.3
Charcandrick West,RB,86.97,26.5
Matt Jones,RB,86.71,14.2
Javorius Allen,RB,83.2,47.6
Damien Williams,RB,77.3,26.5
T.J. Yeldon,RB,75.55,43
DeAndre Washington,RB,74.9,21.5
Jonathan Williams,RB,72.86,7.5
Alfred Blue,RB,72.25,14.7
Jerick McKinnon,RB,68.81,31.7
Shane Vereen,RB,68.76,29.4
Matt Asiata,RB,68.55,23.2
Samaje Perine,RB,67.52,5.6
Cameron Artis-Payne,RB,66.7,12.7
DOnta Foreman,RB,66.43,6.9
Chris Johnson,RB,66.3,10
Jalen Richard,RB,66.17,27.5
Branden Oliver,RB,64.58,25.6
Alfred Morris,RB,48.78,5.7
Shaun Draughn,RB,46.94,20.1
Alvin Kamara,RB,46.78,20.4
Donnel Pumphrey,RB,44.11,14.2
Aaron Ripkowski,RB,42.84,13.1
Travaris Cadet,RB,39.62,30.9
Dwayne Washington,RB,38.73,12
Kerwynn Williams,RB,37.01,3.2
Fozzy Whittaker,RB,36.26,13.9
Orleans Darkwa,RB,32.69,7.5
Alex Collins,RB,29.43,12.4
Peyton Barber,RB,27.33,4.1
Fitzgerald Toussaint,RB,24.63,6.3
Wendell Smallwood,RB,24.12,4.7
Malcolm Brown,RB,23.13,15.4
Terron Ward,RB,22.34,9.3
Kenyan Drake,RB,22.21,6.4
KaDeem Carey,RB,19.82,4.2
Ronnie Hillman,RB,17.83,5.9
DuJuan Harris,RB,17.26,3.9
Kyle Juszczyk,RB,15.92,16.9
Akeem Hunt,RB,15.5,5.9
Kapri Bibbs,RB,13.73,0.8
Lance Dunbar,RB,13.59,10.4
Andre Ellington,RB,13.41,9.1
Andre Williams,RB,12,0.9
Kenneth Farrow,RB,11.84,6.1
Corey Grant,RB,11.57,3.5
Kenjon Barner,RB,11.15,3.5
Bobby Rainey,RB,10.25,10.4
Benny Cunningham,RB,9.89,7.1
Joe Banyard,RB,8.7,5.6
C.J. Spiller,RB,7.94,7.6
Stevan Ridley,RB,7.72,0
Josh Ferguson,RB,7.59,8.4
Rod Smith,RB,6.99,4.6
Taiwan Jones,RB,6.95,6.8
Andy Janovich,RB,6.84,4.1
Elijah Hood,RB,6.8,3.8
Aaron Jones,RB,6.56,2.4
Khalfani Muhammad,RB,5.15,2.3
Mike Davis,RB,5.11,3.1
Tyler Ervin,RB,5.09,2.9
Juwan Thompson,RB,4.58,0
Wayne Gallman,RB,3.79,0.2
C.J. Ham,RB,2.83,2.4
George Atkinson,RB,2.7,0
Aaron Green,RB,2.63,2.1
Knile Davis,RB,2.59,2
Byron Marshall,RB,2.46,0.5
Elijah McGuire,RB,2.29,0.6
Bronson Hill,RB,1.97,2.6
Daniel Lasco,RB,1.69,1.5
Brian Hill,RB,1.48,1.8
Brandon Wilds,RB,1.42,0.5
Chris Carson,RB,1.31,0
Troymaine Pope,RB,1.29,0.3
Matt Breida,RB,1.12,0.2
Brandon Bolden,RB,1.02,0.4
Jordan Todman,RB,0.76,0
Matthew Dayes,RB,0.66,5
Jeremy McNichols,RB,0.65,0.7
James Conner,RB,0.51,1
Tarik Cohen,RB,0.19,0
George Winn,RB,0.1,0
Tra Carson,RB,0.05,0.1
T.J. Logan,RB,0.05,0
Raheem Mostert,RB,0.03,0
DeAngelo Henderson,RB,0.02,0
Marcus Murphy,RB,0,0
Jahad Thomas,RB,-0.06,0
Devante Mays,RB,-0.11,0
Justin Davis,RB,-0.11,0
Taquan Mizzell,RB,-1.72,0
